value_per_qaly,probability_programme_preferred
0.00,0.00000000
2500.00,0.00000000
5000.00,0.00000000
7500.00,0.00000000
10000.00,0.00040000
12500.00,0.00150000
15000.00,0.00420000
17500.00,0.00990000
20000.00,0.02070000
22500.00,0.03910000
25000.00,0.06500000
27500.00,0.09800000
30000.00,0.13710000
32500.00,0.18120000
35000.00,0.22810000
37500.00,0.27630000
40000.00,0.32770000
42500.00,0.37510000
45000.00,0.41450000
47500.00,0.45460000
50000.00,0.49240000
52500.00,0.52800000
55000.00,0.55770000
57500.00,0.59180000
60000.00,0.61740000
62500.00,0.64180000
65000.00,0.66420000
67500.00,0.68280000
70000.00,0.70240000
72500.00,0.71920000
75000.00,0.73560000
77500.00,0.74830000
80000.00,0.76010000
82500.00,0.77360000
85000.00,0.78510000
87500.00,0.79550000
90000.00,0.80550000
92500.00,0.81340000
95000.00,0.82080000
97500.00,0.82770000
100000.00,0.83470000
