scenario,outcome_sd,annual_population,fixed_cost,delay_years,value_realisation,sample_size,enbs
Base case,1.0,1300.0,1200000.0,0,1.0,50,-505075.77
Base case,1.0,1300.0,1200000.0,0,1.0,100,-225618.06
Base case,1.0,1300.0,1200000.0,0,1.0,200,157057.73
Base case,1.0,1300.0,1200000.0,0,1.0,400,666830.29
Base case,1.0,1300.0,1200000.0,0,1.0,800,1311786.86
Base case,1.0,1300.0,1200000.0,0,1.0,1200,1739736.71
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,50,-275779.15
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,100,91419.65
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,200,586080.70
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,400,1224535.24
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,800,1987322.92
Outcome SD 0.75,0.75,1300.0,1200000.0,0,1.0,1200,2459147.10
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,50,-643935.97
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,100,-419356.58
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,200,-109714.16
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,400,308654.56
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,800,852818.48
Outcome SD 1.25,1.25,1300.0,1200000.0,0,1.0,1200,1227205.16
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,50,-666596.74
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,100,-452783.13
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,200,-160724.82
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,400,226792.53
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,800,713682.20
"Annual population 1,000",1.0,1000,1200000.0,0,1.0,1200,1033643.62
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,50,-343554.79
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,100,1547.00
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,200,474840.28
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,400,1106868.04
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,800,1909891.52
"Annual population 1,600",1.0,1600,1200000.0,0,1.0,1200,2445829.80
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,50,-205075.77
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,100,74381.94
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,200,457057.73
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,400,966830.29
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,800,1611786.86
Fixed study cost 0.9m,1.0,1300.0,900000,0,1.0,1200,2039736.71
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,50,-805075.77
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,100,-525618.06
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,200,-142942.27
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,400,366830.29
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,800,1011786.86
Fixed study cost 1.5m,1.0,1300.0,1500000,0,1.0,1200,1439736.71
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,50,-708790.69
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,100,-512125.20
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,200,-243738.81
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,400,111841.95
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,800,557439.99
One-year delay; 80% value realisation,1.0,1300.0,1200000.0,1,0.8,1200,849191.71
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,50,-1017868.13
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,100,-946815.46
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,200,-851829.59
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,400,-730189.51
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,800,-587059.39
Three-year delay; 40% value realisation,1.0,1300.0,1200000.0,3,0.4,1200,-501948.23
