standard_care,hpv_vaccination
580223213.4803536,1072464384.919677
618483545.2953827,1122087795.799773
588493136.8881266,1084068369.0901945
578252301.2519113,1071118626.8571851
562624374.9973459,1049979434.0808376
568904140.3705351,1086097801.2806227
620479322.1303374,1065680324.3580532
600285603.4457667,1116505634.8765209
569356290.4248154,1134937664.0400226
592422684.6949714,1106567090.600169
605945994.4961635,1076878405.0980554
560223586.7350224,1137180522.2659361
594952208.1673108,1111075113.4445238
534402210.72348785,1114749925.7039363
587025858.6100495,1121769582.5588129
582187062.0140381,1056698771.079411
603644728.2533414,1101085773.0787616
586387790.6263674,1103407795.6346352
602054051.2530298,1036523153.1853142
629995919.3255107,1130596540.9968185
622514105.3213303,1100500737.6242785
577987551.2389677,1059753720.4686383
618088621.9285717,1078348280.3519254
572833143.4445657,1037710709.7972927
619488070.1333656,1030076716.9602251
616361565.8483223,1123258644.6728866
572409534.5296222,1080590187.719633
554462217.5350164,1127486145.3360467
610836212.2494706,1161328028.369643
665373324.0888793,1009898406.2132788
603398891.3948703,1077514545.8199115
600740688.9002776,1143157465.9609454
562296531.721219,1089506985.3502219
558730154.0282433,1125060535.6761062
545300174.6194403,1068983289.0162686
597591067.758801,1081445436.4964137
593702316.8565668,1090064928.792713
581257016.249112,1155944245.9650607
585094471.9130502,1095412143.4920943
555660187.2973993,1089405398.6209583
555818658.2492304,1036161232.5225363
590729256.3790741,1068853697.1219598
584068790.59778,1104493278.3798618
612303326.4781553,1079900252.6995711
594830265.5499051,1048699865.9806974
584831259.7747598,1042022561.7101552
570090072.9519882,1161995186.5132265
601787446.8480645,1095414716.1308117
592079772.9281024,1087217649.231569
546688266.3324726,1103572751.1782935
599323136.4597025,1088469904.8457694
575236700.5021352,1071106442.1733445
603695486.4414444,1065590550.5828029
550173855.7786493,1087741391.0565362
593754646.1900631,1133537859.2432432
598819599.2682656,1039087483.2946812
565776379.210533,1049295840.0904598
565013026.614971,1079211113.2241938
589946692.0619467,1097473762.9806883
582086854.0108254,1100760827.608039
569063739.0925229,1067882135.9779768
573511097.363626,1060874775.4574679
600982801.7901986,1098836323.0213385
611980842.5844582,1096693389.9037507
620463795.476627,1060161892.544067
568209813.0480158,1066110264.7314954
588638721.1072385,1101350249.2358954
545082095.6569664,1026046056.2788428
579142913.1132101,1073313054.5501914
551807116.753978,1044268872.236987
603114630.4312508,1043927778.7791204
562641442.6940238,1035314277.2256601
577773985.5976865,1053717416.8663226
599749309.9709922,1082908053.0617297
558688978.7441576,1123766714.1133232
561743080.7187165,1110227862.8839993
590703870.3035711,1083045157.3629084
614483100.1306245,1102154371.610401
553952716.5664277,1075439057.9613807
601318758.9026804,1059606453.4626334
589538723.5002203,1099391811.0930886
600791345.9498291,1119227920.839679
597705555.9126058,1063498283.698991
571736436.6991137,1116075179.3929067
565858093.8853621,1070619166.0493594
581476278.559377,1101192916.8895202
610180143.4716681,1088128350.0041094
574261852.5117924,1154084469.7899287
583240450.5165634,1111783073.926672
594476740.4992001,1084076367.6900806
610616393.8676801,1125597117.3556602
600675650.5831032,1103262481.2879288
612093166.9862192,1053899080.0269089
603926008.0388582,1146503459.470897
556145078.1711687,1066383154.3518479
553594064.870235,1102239656.7408755
597699724.1668853,1149073903.6001666
581484936.3747241,1128629676.7549496
595274285.8113959,1088791736.4116817
562956593.1680593,1052495974.4715309
599575967.39838,1131951230.0038183
642456356.4268296,1057950116.1656204
579560884.1751499,1092163943.93215
551732160.6386364,1053997660.976558
602609481.3356152,1064489859.4705353
554646365.9805794,1063932970.9468595
577056755.465615,1072124774.4841459
517818324.115765,1107123492.8670313
578460697.0264802,1039646788.8559904
573807296.6221323,1068000044.5754842
609846324.3240049,1065203269.2260973
621928387.67794,1082392226.4738994
613938949.7628245,1160833997.8700948
558319473.8737664,1067160125.059003
540653204.6846658,1119394829.1349099
612531573.8770565,1050611304.4759704
558798368.5953555,1112947552.5872533
617857317.3818456,1108732183.9868362
584052592.3074297,1132802140.7765741
610390946.5563462,1080208196.2174337
586834824.2048664,1115514997.0519047
589521528.1453321,1151623525.6527236
593844784.1606003,1049401544.0794818
571005951.7718555,1060171394.219692
578451244.6940502,1113175662.4034007
597030864.818443,1098332293.536193
606025689.9634993,1068581229.0155939
593073754.9921633,1128403822.4633992
584481908.4443517,1055567395.3650904
621703628.5936075,1104206902.0913548
588603141.334078,1042866227.3195919
565684122.5907593,1137770834.1182418
622857294.5128561,1127234108.3714757
614362927.4697737,1100037994.8466728
627595769.6796403,1057573966.0875356
562144081.8949578,1088586659.7939231
550060838.5079356,1078299845.2179139
603840983.7496756,1057809234.2528335
604804005.2793783,1066996344.3326889
576161749.7045566,1134591630.4404607
